QT_subject,relation,QT_object
moarstruder external,fill,pattern
taz 6,just stopped,working
z motors,get out of,sync
printer,stops,extruding
z axis issue,is with,new taz6
problem,is with,taz 6
plates,buying,used taz 3/4/5 bed
40 mm cooling fan,replacing,original 24v
diy taz-6 auto home,was,problem
sd card plastic,broke off taz6 inside,card reader
sd card plastic,broke off,taz6
abs hips,suggested,settings
taz5,stops,printing
taz5,stops printing after,few hours
taz6 flezystruder problem,is with,auto home
bridge nylon,lifting,pei sheet
printing,is with,flexy
taz 5 heated build plate connector,smells like,magic smoke
y-axis,being,off about 0.10 mm
anyone,installing,one
tensioner boby,keeps,breaking
nozzle,pressing into,washers
nozzle,doing,bed level
extruder temp,wait,command
modified heatsink fan duct,is with,leds
printer,stops,midprint
filament,bending at,top exstruder
line voids,is in,prints
bed centered cam,mount for,taz 6
trouble,is with,axis homing
taz 3,showing,error mintemp
bearing play,is,normal
taz 6,left,side
need help,inserting,new igus bushings
anyone,tried,removable pei bed
removable taz 6,print,surface
dual extruder blobs,is with,1.75 mm filament
answer561,lube,rails
taz 6,messing up,layers
trouble,print,head
trouble,print,fans
anyone,have,extruder stepper motor pin-out
bubbles,is in,pei sheet
problem,is with,first layer
user585,do print from,t1 with t0 support structures
user590,can run,how many taz
user590,taz can run on,15 amp breaker
enclosure question,attach to,taz
anyone,is with,thermal runaway issue
problem,is with,y-axis belt mount
does anyone,tried,buildtak flexplate system
taz6 auto,can,can leveling added to taz5
tax 6 poor,print,quality
taz 6 extruder harness snagging prints,leading to,failue
anyone,put,thermocouple
anyone,put thermocouple on,taz 5
taz 5,stops,mid-print
user661,should add,raspberry pi
hips support material,melts on,long
pla,is,too stiff
weird,print,problem
flexy,dually v1,installation instructions
flexy,dually v1 installation instructions on,taz 5
user700,like,em small
taz 4/5,has,issues with z home
dual extruder,is with,water-soluble filament
taz 6,clogging after,2-3 layers
taz 6,print,shifting
extruder,running into,edge of print bed
flexydually,is with,stock v2 .1 possible
taz 6,manually loading,filament
my printer,just caught on,fire
nozzle,makes,sharp turn
anyone,did ever get,their machine
adventures,is with,petg
user728,booted into,windows
taz 6,stopped,print
taz 6,extruded,harness pinout
taz 6,bed,leveling
taz 6,leveling,chaotic
much offset,is,normal
much offset,is normal for,auto alignment
heater resistor stuck,is in,heater block
stepper motor unresponsive,is in,e01 port
time lapse,print,recording
taz 6,retracting,too much
temperature,controlled,enclosure
practical minimum layer height,is with,taz-6
taz-6,is with,ngen filament
filament material,printed,parts
kid,for,costume
large prints,shifting while,dual extrusion printing
snapped nozzle,is with,solution
taz 6,continued,issuea
issues,printing,small part
idler arm,finally cracked on,taz5
taz 6 nozzle touches,printing,solid layers
shifting,first couple of,layers
consistent jams,is with,pla
gliches,is in,taz6
whats,going on in,ngen print
electrical issues,is with,taz 5
printer,stops,mid print
mini 's flexystruder,is in,taz 6
taz 5,went,black
answer837,how long can run,taz 5
lulzbot taz tool head v2,skips,filament
e-step,is in,cura
flexystruder v1,is with,taz 5
taz6 dual extruder v2,starting,print
taz 4,stopping sometimes,mid-print
debris,appears in,extruded filament
y _ idler _,mount,_ v4 .0
secondary extruder wire harness,is same for,dual
secondary extruder wire harness,is,same
elephant,with,foot
problem,is with,z axis
experiences,is in,europe
clack clack,sound on,retract taz4 budaschnozzle 2
taz 5,stops,extruding at exactly same point
servo,causing,limit switch problem
user884,can make,flexystruder with hotend
stock nema motors,can take,how much heat
answer894,do have,how many hours
answer894,hours do have on,your lulzbot taz x
taz 5 pla,have after,print
taz 5,only extrudes,filament
taz z-axis,grinding at,start print
taz 4 3 point,bed,mounting
new taz 6,need,help please with dimensional accuracy
taz 6,skipping commands at,end of gcode files
taz 6,skipping,commands
prints,come out,lumpy
answer936,remotely control,power to your taz
lines,is in,print
finest layer,setting for,taz 5
y-axis,will,jams rotating
taz 5 abs,cracking with,even cat guard
does flexystruder work,is with,filaments
y,grinding nozzle on,print
y,grinding,nozzle
difficulties,is with,prime tower/ooze shield failures
taz 6,scratched,my build plate
taz 3,is with,hexagon hot end
taz 5 harbor freight,print,station
taz 5,stopped,working
taz 5,stops in,middle of project
printing calibration cubes,is with,flat corners
taz5,producing,rough surface
taz 4,print,issue
anyone,sell,their old taz
user997,do print,details smaller
anyone,has modelled,taz hexagon hot end
anyone,has modelled taz hexagon end in,3d
user1012,would get,lulzbot taz 3 budaschnozzle
change,is in,print bed
printing fine details,is with,taz 5
taz5,heatbed,thermal view
dual extruder,knocking,normal
extrusion problem,is with,dual extruder v2
heat,set,inserts
taz 5 printer,is hanging,mid print
best top,mounted,taz 5 spool bracket stl
problems,is with,new taz 5 printer
fan,can,can used on high temp prints
random,wait for,user input
best printer parts,store for,taz 5
answer1065,have,current firmware on your taz5
someone,help,lulzbot taz 4
help,be,would appreciated
flexystruder,too tight for,filament
one week,is with,new taz 5
dual extruder v2,is,available
melted filament,coming out,top of heat block
printing multi-material parts,is with,single extruder
dial gauge,mount for,taz 5
taz5 dual v2 issue,could,could firmware
issue,is with,filament/extruder
ed3 v6 cooling fan,have,mintemp error
my taz 5,is with,minimal modifications
removing,set screws on,motors
removing,set,screws
issues,printing,taller objects
nozzle,got,clogged
enclosure,is with,electronics
z axis steppers,move at,different rates
cant,correct,size
cant,get,prints
user1181,am guessing,breathing
user1183,have done to,my taz
sh!tty,build,quality
severe issues,is with,pla
issues,is with,taller prints
abs,sticks to,plate
abs,sticks like,insanity
flexystruder v2,print,settings
taz,does have,any over heating safety measures
answer1218,do still use abs juice with,heated taz 5 bed
answer1218,do still use,abs juice
first print,ripped,my bed
problems,is with,stl files from autodesk inventor
user1228,did just put divot in,my bed
user1228,did just put,divot
nozzle temp,dropping during,print
filament,getting,stuck
taz 5 power supply,is with,dead fan
trouble,is with,prints staying
printing,crashed on,usb connect
taz 4,failed,prints
user1255,do use,my tool bag
long,print,job
dropping,is,when on
original taz,is with,dual extruder error
sale,is in,northern virgina
hobbed bolt,eating into,filament
dual extruder,is,garbage
anyone,is,frustrated
anyone,is,bit frustrated buy
x-axis,going out of,level
auto,bed,leveling
different z heights,is with,different extruders
stepper motors,is in,enclosure
anyone,has done,flexy dualie hexagon
taz5,mimicking,printing
taz 4 clogging issues,is with,pla
pei,bed,sticks too
pei,separating from,adhesive
taz 5,upgraded,bearings
taz 5,upgraded,rods
taz 4 x end plate,flexydually for,sale
anyone,see here,3d scanner post
taz 5 mechanical assembly,is in,freecad
printing taz3,is with,lulzmini
answer1357,can give,me
usable supports,is with,taz4 dual
wire,came out of,extruder
axis moves,are,inconsistent
best video camera,set up for,octoprint pi
z-axis,threaded,pole misalignment
sproket,come,loose
new taz5 user,needs,help
noises,coming from,extruder assembly
taz,damaged out,box
user1430,'m out of,them
taz 5 hotend problem,please,help
holes,is in,top layer
hexagon hot end,clogged with,hips
taz clone,sporting,2w laser cutter
heat resistors,keep out,burning
user1476,got,question
user1478,'m in,jam
taz 5 low spot,is in,bed from heater wires
small cylindrical parts,printing,oval
kauri cables gunna,be,tight
prints,failed,stoping at same height 4 times 2 parts
z-axis,stops,stepping
taz 5,left,side fan duct
replacment,printed parts for,taz 5
replacment,printed,parts
fine tuning help,needed since,hex hotend
hexagon hotend,requires temperature for,pla
hexagon hotend,requires,much higher temperature
answer1528,can mix,hex
answer1528,can mix,budda
taz 5,is with,mini upgrades
hot end,cools in,middle of print
new user,seeking,advice
new hotend,is in,europe
marlin,are tuned to,my printer
marlin,files on,sd
marlin,are,tuned
odd pattern,printing,flat box
pla prints,are curling off,bed
homing kittaz,sends head into,bed
homing kittaz,sends,head
single extruder hotends,can swap,them
problem,using,flashair sd card
hot end temp,stringing,results
heated bed,always registers 1c below,set temp
sudden issue,is with,default taz3 profile
answer1590,do unplug,your power supply
j-head,mount for,taz
hard time,getting,prints
y axis,skips during,very long print
chunky printing,is in,perimeters
general,help with,taz 4
pla,leaking around,nozzle heater
real taz 4,will build,volume please
x axis,now running in,reverse direction
ships,is with,taz 4
stepper moror,is,very hot
fan,lowering,hot end temp
issues,is with,pronterface motor control
taz 4 quivers,printing,round sequences
xy steppers,stopped during,print
taz 4,led,mod/kit
hand,made,cooler fan issue taz3
custom taz 3,is with,upgraded z-axis
green tape stuff,pealing off,bed glass
taz lcd,start,blink
taz 2,print,quality
bed calibration,print,question
my herringbone gears,fried,stepper motor
user1728,can leave in,my unheated garage
lcd,resetting,itself
lulzbot customer support,is in,need of upgrade
bent,threaded,rod
hobbed bolt,chewing through,abs
taz 2.0,manufacturered,parts
x-axis,shifting with,large prints
taz,is with,laser
answer1790,kept,your taz box
bed,suddenly stopped,heating
