QT_content,QT_objects
consistent jams with pla on taz6 heat creep issues,pla
minor print gliches in taz6,taz6
whats going on in this ngen print?,ngen print
"electrical issues with taz 5: printer ""reboots"", stops mid print",taz 5
"electrical issues with taz 5: printer ""reboots"", stops mid print",mid print
possible to use the mini's flexystruder in the taz 6,taz 6
taz 5 went black,black
how long can you run the taz 5 for?,taz 5
lulzbot taz tool head v2 skips filament,filament
defaut e-step in cura and on lulzbot,cura
flexystruder v1 with taz 5,taz 5
taz6 dual extruder v2 extrudes a bunch of excess filament before starting print,print
taz 4 stopping mid-print...sometimes,mid-print
debris appears in extruded filament,extruded filament
y_idler_mount_v4.0.fcstd file not the same part as on my taz 6,_ v4 .0
is secondary extruder wire harness same for dual & flexydually?,dual
is secondary extruder wire harness same for dual & flexydually?,same
help with elephant's foot,foot
taz 6 - problem with z axis --- help,z axis
taz 6 -- experiences in europe,europe
clack clack sound on retract taz4 budaschnozzle 2,retract taz4 budaschnozzle 2
taz 5 stops extruding at exactly the same point,extruding at exactly same point
enabling servo causing limit switch problem,limit switch problem
can i make a flexystruder with any hotend?,flexystruder with hotend
how much heat can the stock nema motors take?,how much heat
how many hours do you have on your lulzbot taz x,how many hours
how many hours do you have on your lulzbot taz x,your lulzbot taz x
taz 5 pla have to cold pull after every print,print
taz 5 only extrudes filament for a couple of seconds,filament
taz z-axis grinding at start of print,start print
taz 4 3 point bed mounting,mounting
new taz 6 need help please with dimensional accuracy,help please with dimensional accuracy
taz 6 skipping commands at end of gcode files,end of gcode files
taz 6 skipping commands at end of gcode files,commands
prints come out lumpy,lumpy
do you want to remotely control power to your taz and peripherals?,power to your taz
"lines in print, need help please!",print
finest layer setting for taz 5,taz 5
y-axis will jams rotating clockwise,jams rotating
taz 5 abs cracking even with cat guard. next steps?,even cat guard
does flexystruder work with all filaments?,filaments
"taz 6: z-axis stops midway through print; x & y continue, grinding nozzle on print",print
"taz 6: z-axis stops midway through print; x & y continue, grinding nozzle on print",nozzle
difficulties with prime tower/ooze shield failures,prime tower/ooze shield failures
taz 6 - scratched my build plate?,my build plate
taz 3 with hexagon hot end - z axis endstop problem,hexagon hot end
taz 5 harbor freight print station,station
taz 5 stopped working,working
taz 5 stops in the middle of a project,middle of project
need guidance: printing calibration cubes with flat corners,flat corners
taz5 producing rough surface,rough surface
taz 4 print issue,issue
anyone here sell their old taz for a taz6?,their old taz
how do i print details smaller than 1mm on the taz 5?,details smaller
has anyone modelled the taz hexagon hot end in 3d?,taz hexagon hot end
has anyone modelled the taz hexagon hot end in 3d?,3d
where were would i get a lulzbot taz 3 budaschnozzle 1.3 nozzle?,lulzbot taz 3 budaschnozzle
change in print bed after printing abs,print bed
printing fine details with taz 5,taz 5
taz5 heatbed thermal view,thermal view
dual extruder knocking normal?,normal
extrusion problem with dual extruder v2,dual extruder v2
heat set inserts...,inserts
taz 5 printer is hanging mid print.,mid print
best top mounted taz 5 spool bracket stl?,taz 5 spool bracket stl
problems with new taz 5 printer,new taz 5 printer
taz 5: can fan be used on high temp prints?,can used on high temp prints
random wait for user input,user input
best printer parts store for taz 5?,taz 5
how do you know you have the current firmware on your taz5?,current firmware on your taz5
need someone help lulzbot taz 4,lulzbot taz 4
don't know what's going on. help would be appreciated,would appreciated
flexystruder too tight for filament,filament
one week with a new taz 5,new taz 5
dual extruder v2 is available,available
melted filament coming out top of heat block.,top of heat block
printing multi-material parts with a single extruder,single extruder
dial gauge mount for taz 5,taz 5
taz5 dual v2 issue - could it be firmware ?,could firmware
issue with filament/extruder,filament/extruder
ed3 v6 cooling fan not working and have a mintemp error,mintemp error
what should i actually expect from my taz 5 with minimal modifications,minimal modifications
removing set screws on motors,motors
removing set screws on motors,screws
issues printing taller objects.,taller objects
nozzle got clogged,clogged
enclosure with electronics outside,electronics
taz5 - z axis steppers move at different rates?,different rates
cant get prints to correct size,size
cant get prints to correct size,prints
i am guessing breathing these fumes all day no good??,breathing
things i have done to my taz,my taz
sh!tty build quality,quality
"severe issues with pla and petg, + questions",pla
new taz 5 - issues with taller prints - consistent height ribbing / waviness (solved),taller prints
abs sticks to plate like insanity! help.,plate
abs sticks to plate like insanity! help.,insanity
flexystruder v2 print settings,settings
does the taz have any over heating safety measures?,any over heating safety measures
do you still use abs juice with heated taz 5 bed?,heated taz 5 bed
do you still use abs juice with heated taz 5 bed?,abs juice
first print and the rocktapus ripped my bed :(,my bed
problems with stl files from autodesk inventor?,stl files from autodesk inventor
did i just put a divot in my bed?,my bed
did i just put a divot in my bed?,divot
nozzle temp dropping during print,print
filament getting stuck.,stuck
taz 5 power supply with a dead fan,dead fan
trouble with prints staying down.,prints staying
printing from sd-card crashed on usb connect,usb connect
taz 4 failed prints,prints
new taz 5 owner - how do i use my tool bag?,my tool bag
taz 5 froze during long print job,job
hot end temperature dropping when heated bed is on,when on
original taz with dual extruder error,dual extruder error
slightly used taz 5 for sale in northern virgina,northern virgina
print failures / clog / hobbed bolt eating into filament,filament
dual extruder is garbage.,garbage
is anyone a bit frustrated buy this?,frustrated
is anyone a bit frustrated buy this?,bit frustrated buy
x-axis going out of level,level
auto bed leveling,leveling
different z heights with different extruders,different extruders
stepper motors in enclosure?,enclosure
has anyone done a flexy dualie hexagon?,flexy dualie hexagon
taz5 mimicking printing,printing
taz 4 clogging issues with pla,pla
pei bed sticks too much,sticks too
taz5 - pei separating from adhesive,adhesive
taz 5 upgraded rods and bearings,bearings
taz 5 upgraded rods and bearings,rods
"taz 4 x end plate, dual extruder, flexydually for sale",sale
anyone see the 3d scanner post here?,3d scanner post
taz 5 mechanical assembly in freecad,freecad
printing taz3 to taz5 upgrade parts with a lulzmini?,lulzmini
new taz 5 owner. what kind of advice can you give me?,me
getting usable supports with taz4 dual with simplify3d,taz4 dual
wire came out of the extruder,extruder
z axis moves are inconsistent,inconsistent
best video camera set up for octoprint & raspberry pi,octoprint pi
z-axis threaded pole misalignment causing motor jam,pole misalignment
sproket come loose / sheared ?,loose
new taz5 user needs help,help
noises coming from extruder assembly,extruder assembly
taz damaged out the box - help me fix it,box
"why does this happen? thoughts, i'm out of them.",them
"taz 5 hotend problem, please help",help
holes in top layer,top layer
hexagon hot end clogged with hips,hips
"taz'clone' sporting a 2w laser cutter, the l?z16",2w laser cutter
heat resistors keep burning out,burning
"i got question, there is a lot of them!",question
i'm in a jam!!,jam
taz 5 low spot in bed from heater wires,bed from heater wires
small cylindrical parts printing oval,oval
kauri cables gunna be tight,tight
prints failed stoping at the same height 4 times 2 parts.,stoping at same height 4 times 2 parts
z-axis stops stepping,stepping
taz 5 left side fan duct,side fan duct
replacment printed parts for the taz 5,taz 5
replacment printed parts for the taz 5,parts
fine tuning help needed since hex hotend,hex hotend
hexagon hotend requires much higher temperature for pla?,pla
hexagon hotend requires much higher temperature for pla?,much higher temperature
zoinks!  can you mix hex and budda on dual head?,hex
zoinks!  can you mix hex and budda on dual head?,budda
taz 5 with mini upgrades?,mini upgrades
hot end cools in the middle of a print,middle of print
new user seeking advice,advice
new hotend in europe,europe
"marlin files on sd, are tuned to my printer ?",my printer
"marlin files on sd, are tuned to my printer ?",sd
"marlin files on sd, are tuned to my printer ?",tuned
odd pattern printing a flat box,flat box
pla prints are curling off the bed,bed
homing kittaz sends the head into a bed mount,bed
homing kittaz sends the head into a bed mount,head
"single and dual extruder hotends, can i freely swap them?",them
problem using flashair sd card,flashair sd card
"hot end temp lowered when print starts, stringing results",results
heated bed always registers 1c below set temp,set temp
sudden issue with default taz3 profile,default taz3 profile
do you unplug your power supply?,your power supply
j-head mount for the taz,taz
new taz4 owner and have hard time getting prints,prints
y axis skips during very long print,very long print
chunky printing in perimeters and infill,perimeters
general help with taz 4,taz 4
pla leaking around nozzle heater,nozzle heater
will the real taz 4 build volume please stand up,volume please
x axis now running in reverse direction,reverse direction
coating on bed that ships with taz 4,taz 4
stepper moror is very hot!,very hot
fan lowering hot end temp,hot end temp
issues with pronterface motor control,pronterface motor control
taz 4 quivers printing round sequences,round sequences
xy steppers stopped during print. but returned to home,print
taz 4 led mod/kit,mod/kit
hand made cooler fan issue taz3,cooler fan issue taz3
custom taz 3 with upgraded z-axis plus extras for sale,upgraded z-axis
green tape stuff pealing off bed glass,bed glass
taz lcd start to blink when power on?,blink
taz 2 print quality finally sorted (hopefully),quality
bed calibration print question,question
"broke my herringbone gears, and fried stepper motor?",stepper motor
can i leave in my unheated garage?,my unheated garage
lcd resetting itself,itself
lulzbot customer support in need of an upgrade :-(,need of upgrade
bent threaded rod,rod
hobbed bolt chewing through abs on taz 0.15 layer height,abs
taz 2.0 manufacturered parts?,parts
x-axis shifting with large prints,large prints
taz with laser and cnc circuit mill spindle,laser
"hope you kept your taz box...simple ""heated"" enclosure",your taz box
bed suddenly stopped heating,heating
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
