Replies_subject,relation,Replies_object
thermistor resistance,varies as,temperature changes
user52,are trying,solve
voltage,being,drawn by printer power supply
answer52,have,ac power monitor
answer52,could just use,control panel of printer
answer52,set,various nozzle temperatures
temperatures,measure,wattage needed
x min,stop,see
x min,see,loose
lcd,should display,x -19.00 y
z min,stop,switch
nozzle,should,should centered over z min
stop,switches with,m119
might,be,also good
user53,can manually move,nozzle
user53,can manually move nozzle with,lcd
actual nozzle,has,sense of zero
something,interferes with,movement
user54,can try printing without,skirt
user54,can try,printing
user54,max out,bed
user54,changes,printer settings
jul,is,optical
strip,is,rotary
extruder,is,supposed
user55,settings,adjust
settings,adjust,need be
filament,is,loaded
green sensor,is for,extruder one
filament guide tubes,are secure in,sensor
filament guide tubes,are,secure
slack,moving,tool head
slack,can,can developed
user55,can check tension out,detector
user55,can check,tension on runout/strip
two screws,using,included 2 mm hex driver
user55,can tighten,two screws
user55,cause,actual strip outs
user55,will create,drag
extruder,how long needs to,output filament
extruder,registering,feedback
user55,can disable,filament runout feature
user55,can disable filament runout feature via,lcd
compression,can cause,inconsistency
user56,blew,fuse
clean your nozzle,is with,power
user56,'ll need as,replacement
post,fits,your scenario
post,has,little bit information about fuses
print,is with,old gcode file eliminate as culprit
answer57,have started,print
stock taz 3,came with,budaschnozzle hot end
machine,used from,guy
answer57,printed,new bracket on my ender 3
user58,turn,right
user58,rotate back,filament
filament,was,already fed
holder,spool on,lulzbot
filament,was already fed into,print head
facing,front of,taz
user58,lifted,spool
filament,is in,line
filament,is with,you
filament,raise,toolhead
printed parts,is with,heat inserts
user60,'re using,lcd
answer60,get,initial nozzle height start point
my process,is,finalize
answer60,print,set
first calibration print,is,pattern of concentric circles check
second,is,10x10x5mm square look
answer60,like,squash
answer60,get,more precise
answer60,'ve used,z-offset g-code setting
my,slicer,s3d
z-offset g-code setting,is in,my slicer
answer60,think,its m5
its m5,is with,pitch of .8 mm
answer60,have,multi-colored thumbcap
user60,'re on,right track
right track,is with,jigs
answer61,think,i like volcanoes
mine,is working in,fact
good luck,is with,your project
user62,'ll need with,dual extrusion
object,broken into,two stls
half,be,second
only problem,is with,type of print
filament,creating,ooze
best first object,would,actually would dual extrusion calibration object
larger prints,with filament is,3mil pei film
strength,can,can lifted
solution,is,pei
one solution,is thicker pei such as,1/16th of inch thick
solution,is,thicker
aluminum,build,plate
user63,control,environment
user63,get,consistent prints
answer63,use,room dehumidifier
answer63,hold humidity at,0.3
answer63,hold,humidity
temp,printing,pc-max
bed,is heated to,100c
bed,is,heated
big difference,is in,print quality
stratasys,owns,patent on it
user63,build,one yourself
user64,probably blow,micro fuse
printer,is on,else
printer,have,deal
heat,turn off,printer
printer,heat to,260c
answer64,'ll hold on to,heater block
user64,use,open end wrench
user64,can use,socket
nozzle,be,six side
dual v3,uses,volcano type nozzle
answer64,can tell,you
user64,'re,aware
filaments,have,abrasive additives
answer64,seen,post on here
two extruders,should have,same esteps
captured nut,take,bit
your idler arm,could,could either too loose
scenario,is in,my opinion
could ground,is in,hobbed bolt
yourself,print up,updated beefy idler assembly
user66,'re disassembling,one check
user67,unscrewing,very tiny allen head screws
user67,could probably separate heat break at,point
user67,use,flame
user67,melt off,plastic
user67,use,heat gun
answer68,contacted,lulzbot
user70,can use installation instructions as,guide here
user70,can find here,new thermistor for your tool head
user70,can use,installation instructions
your temperature setting,is in,gcode
your z-axis,depending on,filament
user72,have tried,test print
user72,have tried test print with,just extruder with non-support filament
system,requires,different control board
heat sink,causing,them
ok self,fixed,issue
same issue,is in,my y axis
have,had,mine
printer,are,beautiful
color lcd,touch,screen
color calibration test print,now working,my way
color calibration test print,is,impressive
answer78,have so am so far,one successful print of one attempt
answer78,opposed,waiting for reviews
answer78,purchased,opposed
my previous experiences,is with,lulzbot support
all,are,workhorses
answer78,take,plunge
smell,are,function
abs,does have,some of both
use,is in,well ventilated area
use,is,good
good idea,is with,pla
fancy,choice,your
printer,have,enclosure of sort
abs,is,also sensitive
noise,is,louder
noise,produced by,3d printer
user79,say,taz 3
makerbot,open,support ticket
makerbot,charged,me
issue,is,due
answer81,am,used
answer81,writing up,rca
bind,is in,future
answer81,was just printing,solid ball
answer81,had,abs print
z bar,went,all
answer81,cleaning up,gob
answer81,got,then engrossed
david,with,answer
answer81,get again to,exuberant with knob
answer81,generally only put,dates
answer82,'m going,different route
e1 err min temp,is,thermistor error on left-hand side extruder
something,has,intermittent break
intermittent break,something along,wiring path
user83,have,access to multi-meter
tmc drivers,can detect,collision
answer84,expect,feature
good success,is with,esun epa
good success,cf.,elmer 's xtreme glue stick
duet,made custom extensions,connect
installed duet,connect to,stock wiring
answer85,make custom wiring to,duet
answer85,hated,my job
answer85,'m going to,re-rebuild
filament,go in,easier
answer86,have had,just opposite action with lulzbot support
answer86,was having,severe layer shift in y axis
back time,is with,support fully diagnose
their support,did job in,my case
their support,did,great job
? tue mar 26 2019 10:10,am,toolhead
? tue mar 26 2019 10:10,causing,nozzle
taz 6,corrected with,larger smooth rods
corners,live in,middle
corners,live with,extra squish
user87,can arrive at,ground
problem,swapping toolhead for,titan
answer87,'ve already got,aerostruder
taz6,are rods,direct drop in
answer88,have,taz 5
answer88,made exactly,how many turns
counter clockwise,raises,lid
z,offset,counterclockwise
leveling screws,are,tight
answer88,cut,3/8 inch piece of plywood
user88,use,metal ruler
pain,is in,tookus
everyone,had,different idea
consistent height,placing,block
consistent height,lowering,x axis
answer88,have tightened,aluminum
answer88,is,first home when warm
paper,also will burn at,fahrenheit 351
that,said,home all
your nozzle,forces bed,you can fix
user88,turning,z
answer88,put,mark
user88,use,digital caliper
your finger gauge,get,.18 mm between your bed
paper,is,where rough
user88,slip gauge under,nozzle
user88,'re,golden
business card stock,varies so in,my belief
bed corner,is higher on,one side
bed corner,is,higher on one side than another
it spring tension,governed by,spring constant
unlevel bed corners,catch on,threads
bed corner,gets caught on,inverted screw
bed corner,gets,caught
corner,will,will visually unlevel
user88,will have,dink
z,offset,nob then re-leveling
point,give,yourself
nozzle,is with,your paper
leveling screws,turning of are,even finger gauge
four corners,turning of,leveling screws
nozzle,is,raised
inverted stabilizing,screw on,bed corner
answer88,used at_time,one other thing
answer88,just have,little more flexibility
one turn,equals,x mm of height
user88,get within,0.04
user88,are making,molds
computer,is with,latest version of cura lulzbot edition handy
firmware,does have,overtemp setting
support team,help,you
answer93,doing,rewiring
answer93,doing rewiring on,machine
answer93,looked up,parts for bed cable itself
anyone,know,amp rating for these
cable,ends,https://www.digikey.com/products/en?keywords=206429-1 https://www.digikey.com/products/en?keywords=a25053-nd heated bed pins
digikey,carries,most of them
printing multiples,would allow,more time cooling between layers
print,looks,better
answer94,would recommend for,larger part
fan settings,are set to,ramp
fan settings,is in,cura
fan settings,are,set
fan,be,once kicked in here
user94,alluded,will your bed
bed adhesion,is with,abs
user94,reduce,bed temp
user94,test,issue
user94,reduce bed temp,test
answer95,would give,try
answer95,did have,edge layer issues with newer cura
answer95,went to,older version
answer96,can tell,you
chances,are,extra wire
user96,powering with,24v of heater power
user96,need now,new thermistor
answer97,put silicone socks on,mine
answer97,fix,issue
wireless,have,issue inside metal control box
lulzbot,sells,moarstruder hot end kit
actual components,are,moarstruder components with v6 volcano nozzle
e3d,is,manufacturer
wiping process,knock loose,sock
answer100,emailed,support
answer100,took,multi-meter
answer100,everything,get to panel
answer100,moved by,time
user100,are,correct
4 different suppliers,is in,email response
answer100,blew,fuse f3
answer101,had issue with,my extruder v3
dual extruder,bottom wedge of was,tighter fit than stock single extruder
fit,was,looser
answer101,get,top screw
answer101,loosening,4 screws
fit,is,too tight
user101,sand,cutout
final step,is in,process
nozzles,measure,gap for nozzles
gaps,will,will same
answer101,discovered,getting
taz 4,used,budaschnozzle hot end
user104,are talking about,x
x,take,measurement
do,same for,y
filament,goes through,notch
extruder,is heated,more fluid
user104,measure,distance
much,was,actually extruded
user104,enter,them
stainless steel heat break,is,pretty hard
heat,otherwise will travel up into,cold end
heat,cause,filament
filament,expand,jams/clogs
sound,is coming from,bottom end of machine
cracks,is in,coupler
their suggestion,re-align,stepper motor
their suggestion,re-align stepper motor to,lead screw
answer107,would,would stuck
answer107,president of,company
answer107,told,them
issues,',members
answer107,keep,outdated mode
answer107,have,do
one upgrade,is in,15 yrs
high quality stuff,is with,none of many issues posted on forum matter
issues,is with,build
user108,run filament through,sensor
answer108,mean by,plug
printer,pauses,you run
user108,would,would willing
answer108,take apart,head
i bad clogs,stop,cooling fan
cooling fan,use,heat creep
answer108,use,nozzle cleaning filament
answer108,already have,octoprint
answer109,printed,one
answer109,was,able
answer109,get slack in,stock fan wiring
answer109,get,slack
abs,have,bit higher heat tolerance
answer109,have,nf-a4x20 5v fan
rambo fuse locations,would,would short
short,ensure,insulation
one,could,could have blown
f3 fuse,controls,logic
answer111,checked,belts
answer111,still have,bed vibration
answer111,changed,linear bearings
answer111,confirmed,belt tightness
answer112,had,same problem
answer112,had problem at_time,today
answer112,have around,64 gb card
answer112,use,that
answer112,saw,post
large one,is,80 mb/s
user113,have,.50 nozzle
answer113,print,calibration cube
answer113,set,first layer
intention,squash,that
first layer height,be honored by,printer
first layer height,is,honored
answer114,put,piece of 'em ery cloth
answer114,put piece on,backside
answer114,'ll give,two with emery cloth side
answer114,always wipe tip after,print
answer114,have,my wiper tool velcor to printer
answer115,assume,just cranks
practice,running,their cooling fans
user115,can set,fan speed
user115,can set fan speed in,curale
user115,can set fan speed to,1.5
user115,can provide,screenshot
user115,are assuming on,printer lcd
units,are,percentage
answer116,am,wrong
answer116,run,spot cooler make
answer116,am building,enclosure
abs,are,different story
that,has,complex
complex question,is with,answer it depends
materials,are ones,benefit most from enclosure
user117,can improve,adhesion
user117,increasing,strength of first layer bond
user117,will melt,your rambo board
motors,get,way
user118,can use safely,standard e3dv6 nozzle
hexagon,accept,style
user118,fit into,block
your extruder warranty,snapping,heat break
care,is,so required
nozzles,check,nozzle height
user119,using,feeler business card
user119,are heating up,nozzles
user119,remove,filament
answer119,extrude,little hotter
little hotter,give,idler screws
answer120,have,problem
answer120,flashed,rambo board
answer120,coming out like,crap
answer120,would have,do
user120,arnt,anything
user120,having,print issues
answer120,tired,printing
there may couple things,is in,regards to print quality here
it looks,is,bit
good first layer,based on,squish
bed,is,well leveled
answer120,start,making
answer120,making,sure
user120,did,modifications
user120,get,hang of it
user120,are going,want
adjustment,is,required
user120,need,adjust
your printer,disable,your stepper motors
user120,should feel,same slight tension on card on four spots
user120,make,small adjustments
you will want,will affect,other three
fine adjustments,achieve,height
fine adjustments,will,will made after bed calibration print
user120,might have,some
user120,newest version of,cura
user120,can use,verify
user120,are,uncertain
e-steps,are,correct
nozzle,is,clogged
your idler arm,is,too tight
sure,that,knurled part of hobbed bolt lines
there,also make,sure
user122,have updated recently,your firmware
toolhead,print,ninjaflex filament
toolhead,print ninjaflex filament without,problem
'll area,is in,march
user124,'re,free
weekend,come,check
nothing,is blocking endstops at,left hand side of x-axis
nothing,is blocking,endstops
user125,should hear,click
user125,should hear click at,when end of travel range
auto level routine,is tapping,corner washers
corners,are,are tapped without deflection
toolhead,adjust with,leadscrew
nozzle,is,left
nozzle,right washers by,same distance
nozzle,is,thing
nozzle,is thing,matters
free flows,does,nothing
answer128,found,couple posts
answer128,am,embarrassed
piercet,checking,y-axis belt
answer128,was,able
answer128,play,stairway
answer128,play stairway on,my x
answer128,play stairway to,heaven
everything,is,tight now
answer129,get,as quiet as mini 2
answer129,'d love,get
first,is,einsry retro electronics board
drivers,have,stealthchop mode
second aspect,will,will move
belt,driven,z axis
different drive train,provide,smooth movement
metal rod,raise,carriage
different drive train,requiring,metal rod
z axis,is causing,most noise
z axis,is causing noise by,your ears
cause,may,may dependent
variances,is in,filament diameter
object 45 degrees,check,lines appear
answer130,'d recommend,calibration cube
answer130,'d recommend calibration cube for,troubleshooting
answer130,'ve attached,stl
answer130,check,extrusoin tolerance
answer130,check extrusoin tolerance for,dimensional accuracy
user130,print,pair
user131,are using cura as,slicing software
user131,are using,cura
answer132,was having,problems
my aluminum,build,plate needs
glass plate eg print bed,needs,parallel
glass plate eg print bed,be,completely level
lulzbot support people,telling,me
answer132,found,helpful solution
answer132,make,cabinets
answer132,cut,6 width of thin plywood
bottom x-axis,is between,pain in rear
width,is,always constant
difference,is in,thickness of business card
quality,makes,difference in thickness
user132,will wear out,paper
first layer,is,yours
user132,using,business card notice
point,is,now important
user132,are pushing bed down on,springs
is happening,is,tight
user132,want,nozzle firm
sensitivity,is in,our fingers
rubber,hits,road
answer132,tend,bit extreme
targeting technique,is,principle
targeting technique,is principle of,statistics
answer132,used for,my purposes
user132,can do with,minimum infill
6 minutes,therefore equals,0.05 mm
user132,being quarter of,clock
user132,being,quarter
user132,get,feel of it
middle print,will,from statistical point of view will almost exact average of thickness of each of 4 corners
answer132,really hate,guesswork
answer132,am,for many other things master maker
answer133,understand,frustration
same plane,is with,y.
you want,have,your x axis
your x axis,parallel with,plane of bed
toolhead,adjust with,leadscrew
nozzle,is,above left
nozzle,right washers by,same distance
nozzle,is,thing
nozzle,is thing,matters
user133,achieve,bubble level
glass,same way on,four corners
square,is in,way
printer,is out of,square
user134,'ll,'ll bit more confident in your selection
picture,include,pictures
user135,disconnected/reconnected,things
x axis,using,controller
z-axis,makes,excessive noise
answer137,am in,so same boat here
support,have,even more go
have,even more,go through
support,have gone through,sorts of troubleshooting steps
answer137,would,would interested
answer137,still have,my banding on all of my prints
answer137,'m at,point
point,is with,support
answer137,spend,90 dollars
answer137,had,nozzle break
answer137,had nozzle break with,one
answer137,ended up,waiting
support,is in,chronological order
answer137,am right here with,you
answer137,am within,luckily still 30 day window
printer,was,beaten
printer,was beaten during,shipping
demo print,everything,i 've printed
demo print,was,perfect
answer137,'ve printed,getting
z axis,checking,bearings
the attached,are,two prints after rebuild
layer lines,are,inconsistent
missteps,take,place
user137,want,picture of it
could slop,is in,x axis
answer137,like,printer
answer137,have had,spools
user137,baking filament,see
user137,baking,filament
your 3dbenchy,see,is improvement
answer138,have,similar problem
auto-level,measures,corners correctly
x+y,are,high
x+y,are,low
my plate,has,a
two edges,are,sloped
mine,is off,off straight box ty argued with me
real youtube review,is on,its way
filament,is in,fact very easy
filament,sounds,complicated
user140,'ll need,felt tip marker
user140,tweak slightly,parameters
your using,is,correct
answer141,did send,email
answer141,did send email to,lulzbot support
answer141,'m,quite disappointed
glass plate,thermally expands as,result
answer143,'m,old
user143,should get,lot more experience
more experience,using,machine
answer144,would suggest,looking into linear advance
answer144,would copy,startup
answer144,would just copy startup in,mine
answer144,had,rambo board
? mon feb 25,using,standard controls in software
printer,rotate,lead-screw
same cube,moved to,right side of bed
matters,is in,end
head,is mounted,move vertically
user145,'ll see,side of x-axis carriage
head,is,mounted
auto-leveling feature,will probe,corner washers
corner washers,determine,difference
answer145,squeeze glass to,base
answer145,squeeze,glass
answer145,can snug up,screw in corner
user145,use,care
user145,need,those
user145,stop,squeezing
user145,stripping,threads
answer145,did,adjustment
sides,are,now perfectly level
guys,are,awesome
your firmware,decided,upgrade to 3.6.3
preferences > configure cura,> allow connections to,wrong machine 2
> upgrade firmware,update,firmware
command,keeps,issued
kind,regards,randy
number,should,should identical on sides
taz 6,is with,12 mm x rods
taz,sit on,non level surface
issue,is,present
issue,is present on,5
user150,can add washers under,flex feet
user150,can add,washers
front,was,good
gauge,set table there on,way
apx11,rails,use
gauge,set there,table
user152,are assuring,horizontal bars
level,is in,respect to build plate
difference,is,slight
difference,is in,measurement
difference,is,slope
user152,'re seeing,left to right
z motor,for,carriage assembly
answer152,'ve gotten,terminology
parts,terminology of be,heights
answer152,terminology of,parts
answer152,returned for,warranty repair
user152,have also checked,squareness of frame
background,is in,cad design
answer153,jumped in with,background
answer153,think,you are going
lulzbot,is,good choice
user153,start with,standard benchmark objects
answer153,strongly suggest,that
user153,using printer for,more random stuff
user153,keep,limitations
user153,limitations in,mind
user153,download,cura lulzbot edition
user153,can maintain,firmware on printer
answer153,like,interface better
user153,test,settings
user153,test settings for,changes of filament
answer153,modeled,maybe poker chip
something,similar to,checker game piece
answer153,just went through,myself
poker chip thing,was invaluable in,process
poker chip thing,was,invaluable
answer153,printed,thing
answer153,'ve ever done in,taz
answer153,was,very heartened
answer153,worked out,problems with chips
answer153,was,glad
my message,stay,positive
user154,do mean,file name
my print file name,only says,bed _ corner
user154,found,ninjaflex
user154,can tell,me
other parts,is in,future
user155,build,your own longer harness
pins,are,common
crimpers,can,can found
answer156,downloaded,files for small herringbone gears
user156,use,high-quality/high detail
abs,reprint,them
answer156,using,best settings
answer156,make,sure
answer156,noticed,comments
answer156,looked at,g-code
answer156,posted for,parts
something,different for,e
user157,'ve replaced,most of things
numbers,are,correct
your rambo,harness,bad
user157,preloaded to,printer
user157,have,wrong z axis value
user157,hear,sound
user157,source,itworks3d.com
you want,are,only two routes
board,is,simple
y axis,move,10 mm
y steps,is,set
controller chip,mosfet for,y axis
half,are,engaged
harness,is,damaged
file,is,handed
file,is handed to,rambo board
answer157,'d take control box,me
answer157,'d take,control box
answer158,will check for,loose wiring
user160,are printing,pla
user160,are printing pla at,low extrusion rates
heat creep,induced,jams
heatsink,is,hot
user162,can change,orientation
part,is,is printed
most things,is in,3d printing
parts,come off with,very little struggle
answer163,love too,ngen
1 cube,measure,x stl file
my immediate work-around,create,1 cube
limit,bearing,housings
answer164,did check,steps/mm
y,0,100.5
z,0,1600
scaling,be,different
z axis scaling,may,may issue
answer164,affect,y
answer164,am,still perplexed
user165,made,great work
answer165,thank,you
answer165,unfortuntely find,very difficult
answer165,find,everything in same place
someone,sell,complete upgrades
answer165,find,quite hard
answer165,'m,wrong
answer166,getting closer,nozzle
answer167,mostly use,v3 head
user167,can run,code
empty print,is with,g28 z
answer167,lift z in,move commands
answer167,lift,z bit
two toolheads,should,should swappable
lock,turning,lead screw
lock,is in,initial nozzle height
lead screw,is adjusted at_time,time
lead screw,print t1 pattern for,comparison with t0 pattern extrusion width
lead screw,print,t1 pattern
answer170,similar input without,wire diagram
answer170,turn up,fan speed 1
fan wires,run to,connector for e1
https://itworks3d.com/product-category/ 4-5-parts,here is link to,their nozzles page
https://itworks3d.com/product-category/ 4-5-parts,is,here link
user171,heat end to,185c
answer171,can provide,advice
18 mm open end wrench,hold,hot end
please,be,careful
tool head,is mounted on,printer
please,be careful of,small thermistor wires
tool head,is,mounted
user171,can screw off,nozzle
user171,put nozzle on,as long
hot end,is,warm
user171,will,will able
attempted repairs,cause,accidental
viewtopic.php?t,0,4469
lulzbot.com/support,is with,link to forum post
your prints,is with,tool head
geetech gt2560,has,8 bit processor running
archim,has,32 bit
large complex prints,is with,high detail
8 bit chips,causes,printer
bad consistency,is in,print
answer175,can send,you
answer175,can send,gcode
problem,is in,boards
noise,is,your biggest concern
board,is,very nice
user176,are,unable
user176,get up,heating
user176,measure,resistance at room temperature
user176,have,issues about testing
stock extruder,is,definitely worth
extruder mount,is,broken
user178,can either print out purchase from,store
user178,can either print out,purchase
model,can,can found here
mount,change out,inserts
user178,'ll also have,mount to new one
mount,change out inserts from,old
user178,use here,guide
information,starting at,at step 8
user178,'ll need,tool head assembly instructions
user178,are talking about,different part
answer178,can help out,you
answer179,have,6
connections,are,now soldered
answer180,left,work
answer180,did,cold pull process
answer180,did pull process on,friday
beds,is with,crocus cloth
answer180,moved on,temporary bar
original post,has,pictures were
answer180,think,its ready go
answer180,have,top eventually
department head,shoot for,dual extruder
