QT_content,QT_subjects
taz 6 extruded harness pinout?,taz 6
taz 6 bed leveling chaotic,taz 6
taz 6 bed leveling chaotic,taz 6
how much offset is normal for auto alignment?,much offset
how much offset is normal for auto alignment?,much offset
heater resistor stuck in heater block,heater resistor stuck
stepper motor unresponsive in e01 port; unsure as to how to switch,stepper motor unresponsive
time lapse print recording,time lapse
taz 6 retracting too much before leveling?,taz 6
temperature controlled enclosure,temperature
practical minimum layer height with taz-6 with ngen filament,practical minimum layer height
practical minimum layer height with taz-6 with ngen filament,taz-6
filament material used for production printed parts?,filament material
taz5 works wonders for your kid's costume!,kid
taz 6: large prints shifting while dual extrusion printing,large prints
snapped nozzle - with solution,snapped nozzle
taz 6...continued z issuea,taz 6
issues printing small part,issues
idler arm finally cracked on taz5,idler arm
taz 6 nozzle touches print when printing solid layers,taz 6 nozzle touches
solved: taz 5 shifting first couple of layers,shifting
consistent jams with pla on taz6 heat creep issues,consistent jams
minor print gliches in taz6,gliches
whats going on in this ngen print?,whats
"electrical issues with taz 5: printer ""reboots"", stops mid print",electrical issues
"electrical issues with taz 5: printer ""reboots"", stops mid print",printer
possible to use the mini's flexystruder in the taz 6,mini 's flexystruder
taz 5 went black,taz 5
how long can you run the taz 5 for?,answer837
lulzbot taz tool head v2 skips filament,lulzbot taz tool head v2
defaut e-step in cura and on lulzbot,e-step
flexystruder v1 with taz 5,flexystruder v1
taz6 dual extruder v2 extrudes a bunch of excess filament before starting print,taz6 dual extruder v2
taz 4 stopping mid-print...sometimes,taz 4
debris appears in extruded filament,debris
y_idler_mount_v4.0.fcstd file not the same part as on my taz 6,y _ idler _
is secondary extruder wire harness same for dual & flexydually?,secondary extruder wire harness
is secondary extruder wire harness same for dual & flexydually?,secondary extruder wire harness
help with elephant's foot,elephant
taz 6 - problem with z axis --- help,problem
taz 6 -- experiences in europe,experiences
clack clack sound on retract taz4 budaschnozzle 2,clack clack
taz 5 stops extruding at exactly the same point,taz 5
enabling servo causing limit switch problem,servo
can i make a flexystruder with any hotend?,user884
how much heat can the stock nema motors take?,stock nema motors
how many hours do you have on your lulzbot taz x,answer894
how many hours do you have on your lulzbot taz x,answer894
taz 5 pla have to cold pull after every print,taz 5 pla
taz 5 only extrudes filament for a couple of seconds,taz 5
taz z-axis grinding at start of print,taz z-axis
taz 4 3 point bed mounting,taz 4 3 point
new taz 6 need help please with dimensional accuracy,new taz 6
taz 6 skipping commands at end of gcode files,taz 6
taz 6 skipping commands at end of gcode files,taz 6
prints come out lumpy,prints
do you want to remotely control power to your taz and peripherals?,answer936
"lines in print, need help please!",lines
finest layer setting for taz 5,finest layer
y-axis will jams rotating clockwise,y-axis
taz 5 abs cracking even with cat guard. next steps?,taz 5 abs
does flexystruder work with all filaments?,does flexystruder work
"taz 6: z-axis stops midway through print; x & y continue, grinding nozzle on print",y
"taz 6: z-axis stops midway through print; x & y continue, grinding nozzle on print",y
difficulties with prime tower/ooze shield failures,difficulties
taz 6 - scratched my build plate?,taz 6
taz 3 with hexagon hot end - z axis endstop problem,taz 3
taz 5 harbor freight print station,taz 5 harbor freight
taz 5 stopped working,taz 5
taz 5 stops in the middle of a project,taz 5
need guidance: printing calibration cubes with flat corners,printing calibration cubes
taz5 producing rough surface,taz5
taz 4 print issue,taz 4
anyone here sell their old taz for a taz6?,anyone
how do i print details smaller than 1mm on the taz 5?,user997
has anyone modelled the taz hexagon hot end in 3d?,anyone
has anyone modelled the taz hexagon hot end in 3d?,anyone
where were would i get a lulzbot taz 3 budaschnozzle 1.3 nozzle?,user1012
change in print bed after printing abs,change
printing fine details with taz 5,printing fine details
taz5 heatbed thermal view,taz5
dual extruder knocking normal?,dual extruder
extrusion problem with dual extruder v2,extrusion problem
heat set inserts...,heat
taz 5 printer is hanging mid print.,taz 5 printer
best top mounted taz 5 spool bracket stl?,best top
problems with new taz 5 printer,problems
taz 5: can fan be used on high temp prints?,fan
random wait for user input,random
best printer parts store for taz 5?,best printer parts
how do you know you have the current firmware on your taz5?,answer1065
need someone help lulzbot taz 4,someone
don't know what's going on. help would be appreciated,help
flexystruder too tight for filament,flexystruder
one week with a new taz 5,one week
dual extruder v2 is available,dual extruder v2
melted filament coming out top of heat block.,melted filament
printing multi-material parts with a single extruder,printing multi-material parts
dial gauge mount for taz 5,dial gauge
taz5 dual v2 issue - could it be firmware ?,taz5 dual v2 issue
issue with filament/extruder,issue
ed3 v6 cooling fan not working and have a mintemp error,ed3 v6 cooling fan
what should i actually expect from my taz 5 with minimal modifications,my taz 5
removing set screws on motors,removing
removing set screws on motors,removing
issues printing taller objects.,issues
nozzle got clogged,nozzle
enclosure with electronics outside,enclosure
taz5 - z axis steppers move at different rates?,z axis steppers
cant get prints to correct size,cant
cant get prints to correct size,cant
i am guessing breathing these fumes all day no good??,user1181
things i have done to my taz,user1183
sh!tty build quality,sh!tty
"severe issues with pla and petg, + questions",severe issues
new taz 5 - issues with taller prints - consistent height ribbing / waviness (solved),issues
abs sticks to plate like insanity! help.,abs
abs sticks to plate like insanity! help.,abs
flexystruder v2 print settings,flexystruder v2
does the taz have any over heating safety measures?,taz
do you still use abs juice with heated taz 5 bed?,answer1218
do you still use abs juice with heated taz 5 bed?,answer1218
first print and the rocktapus ripped my bed :(,first print
problems with stl files from autodesk inventor?,problems
did i just put a divot in my bed?,user1228
did i just put a divot in my bed?,user1228
nozzle temp dropping during print,nozzle temp
filament getting stuck.,filament
taz 5 power supply with a dead fan,taz 5 power supply
trouble with prints staying down.,trouble
printing from sd-card crashed on usb connect,printing
taz 4 failed prints,taz 4
new taz 5 owner - how do i use my tool bag?,user1255
taz 5 froze during long print job,long
hot end temperature dropping when heated bed is on,dropping
original taz with dual extruder error,original taz
slightly used taz 5 for sale in northern virgina,sale
print failures / clog / hobbed bolt eating into filament,hobbed bolt
dual extruder is garbage.,dual extruder
is anyone a bit frustrated buy this?,anyone
is anyone a bit frustrated buy this?,anyone
x-axis going out of level,x-axis
auto bed leveling,auto
different z heights with different extruders,different z heights
stepper motors in enclosure?,stepper motors
has anyone done a flexy dualie hexagon?,anyone
taz5 mimicking printing,taz5
taz 4 clogging issues with pla,taz 4 clogging issues
pei bed sticks too much,pei
taz5 - pei separating from adhesive,pei
taz 5 upgraded rods and bearings,taz 5
taz 5 upgraded rods and bearings,taz 5
"taz 4 x end plate, dual extruder, flexydually for sale",taz 4 x end plate
anyone see the 3d scanner post here?,anyone
taz 5 mechanical assembly in freecad,taz 5 mechanical assembly
printing taz3 to taz5 upgrade parts with a lulzmini?,printing taz3
new taz 5 owner. what kind of advice can you give me?,answer1357
getting usable supports with taz4 dual with simplify3d,usable supports
wire came out of the extruder,wire
z axis moves are inconsistent,axis moves
best video camera set up for octoprint & raspberry pi,best video camera
z-axis threaded pole misalignment causing motor jam,z-axis
sproket come loose / sheared ?,sproket
new taz5 user needs help,new taz5 user
noises coming from extruder assembly,noises
taz damaged out the box - help me fix it,taz
"why does this happen? thoughts, i'm out of them.",user1430
"taz 5 hotend problem, please help",taz 5 hotend problem
holes in top layer,holes
hexagon hot end clogged with hips,hexagon hot end
"taz'clone' sporting a 2w laser cutter, the l?z16",taz clone
heat resistors keep burning out,heat resistors
"i got question, there is a lot of them!",user1476
i'm in a jam!!,user1478
taz 5 low spot in bed from heater wires,taz 5 low spot
small cylindrical parts printing oval,small cylindrical parts
kauri cables gunna be tight,kauri cables gunna
prints failed stoping at the same height 4 times 2 parts.,prints
z-axis stops stepping,z-axis
taz 5 left side fan duct,taz 5
replacment printed parts for the taz 5,replacment
replacment printed parts for the taz 5,replacment
fine tuning help needed since hex hotend,fine tuning help
hexagon hotend requires much higher temperature for pla?,hexagon hotend
hexagon hotend requires much higher temperature for pla?,hexagon hotend
zoinks!  can you mix hex and budda on dual head?,answer1528
zoinks!  can you mix hex and budda on dual head?,answer1528
taz 5 with mini upgrades?,taz 5
hot end cools in the middle of a print,hot end
new user seeking advice,new user
new hotend in europe,new hotend
"marlin files on sd, are tuned to my printer ?",marlin
"marlin files on sd, are tuned to my printer ?",marlin
"marlin files on sd, are tuned to my printer ?",marlin
odd pattern printing a flat box,odd pattern
pla prints are curling off the bed,pla prints
homing kittaz sends the head into a bed mount,homing kittaz
homing kittaz sends the head into a bed mount,homing kittaz
"single and dual extruder hotends, can i freely swap them?",single extruder hotends
problem using flashair sd card,problem
"hot end temp lowered when print starts, stringing results",hot end temp
heated bed always registers 1c below set temp,heated bed
sudden issue with default taz3 profile,sudden issue
do you unplug your power supply?,answer1590
j-head mount for the taz,j-head
new taz4 owner and have hard time getting prints,hard time
y axis skips during very long print,y axis
chunky printing in perimeters and infill,chunky printing
general help with taz 4,general
pla leaking around nozzle heater,pla
will the real taz 4 build volume please stand up,real taz 4
x axis now running in reverse direction,x axis
coating on bed that ships with taz 4,ships
stepper moror is very hot!,stepper moror
fan lowering hot end temp,fan
issues with pronterface motor control,issues
taz 4 quivers printing round sequences,taz 4 quivers
xy steppers stopped during print. but returned to home,xy steppers
taz 4 led mod/kit,taz 4
hand made cooler fan issue taz3,hand
custom taz 3 with upgraded z-axis plus extras for sale,custom taz 3
green tape stuff pealing off bed glass,green tape stuff
taz lcd start to blink when power on?,taz lcd
taz 2 print quality finally sorted (hopefully),taz 2
bed calibration print question,bed calibration
"broke my herringbone gears, and fried stepper motor?",my herringbone gears
can i leave in my unheated garage?,user1728
lcd resetting itself,lcd
lulzbot customer support in need of an upgrade :-(,lulzbot customer support
bent threaded rod,bent
hobbed bolt chewing through abs on taz 0.15 layer height,hobbed bolt
taz 2.0 manufacturered parts?,taz 2.0
x-axis shifting with large prints,x-axis
taz with laser and cnc circuit mill spindle,taz
"hope you kept your taz box...simple ""heated"" enclosure",answer1790
bed suddenly stopped heating,bed
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
